Area_of_Origin,Median_Response_Minutes
70 - Other Structural Area,5.208333333333334
92 - Residential/Business: Restaurant area,5.216666666666667
29 - Electronic Equipment,5.233333333333333
86 - Passenger Area,5.324999999999999
74 - Storage Area (outside),5.35
79 - Other Outside Area,5.391666666666667
47 - Shipping/Receiving/Loading Platform,5.4
68 - Concealed Wall Area,5.416666666666667
"31 - Process Manufacturing (inc manf, prod assembly, repair)",5.433333333333334
"56 - Conveyor Shaft or Chute (inc dumbwaiter, laundry chute, garbage",5.433333333333334
83 - Electrical Systems,5.45
89 - Other Vehicle Area,5.533333333333333
87 - Trunk/Cargo Area,5.55
81 - Engine Area,5.566666666666666
85 - Operator/Control Area,5.65
"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",5.666666666666667
99 - Undetermined  (formerly 98),5.666666666666667
"84 - Fuel Systems (eg. fuel tank, etc.)",5.75
"82 - Running Gear (inc wheels and braking systems, transmission syste",6.15
91 - Multiple Areas of Origin,6.45
