Smoke_Alarm_at_Fire_Origin,Smoke_Alarm_at_Fire_Origin_Alarm_Failure,Incidents,Total_Casualties
2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,3840,471
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,98 - Not applicable: Alarm operated OR presence/operation undetermined,799,84
1 - Floor/suite of fire origin: No smoke alarm,98 - Not applicable: Alarm operated OR presence/operation undetermined,1174,67
"4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined",98 - Not applicable: Alarm operated OR presence/operation undetermined,371,52
1 - Floor/suite of fire origin: No smoke alarm,9 - Other reason,320,39
3 - Floor/suite of fire origin: Smoke alarm present did not operate,99 - Reason for inoperation undetermined,206,35
3 - Floor/suite of fire origin: Smoke alarm present did not operate,4 - Remote from fire – smoke did not reach alarm,556,24
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,99 - Reason for inoperation undetermined,131,24
3 - Floor/suite of fire origin: Smoke alarm present did not operate,1 - No battery,105,21
3 - Floor/suite of fire origin: Smoke alarm present did not operate,7 - Unit failure,99,21
1 - Floor/suite of fire origin: No smoke alarm,99 - Reason for inoperation undetermined,105,20
3 - Floor/suite of fire origin: Smoke alarm present did not operate,2 - Dead battery,116,19
"4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined",99 - Reason for inoperation undetermined,56,18
3 - Floor/suite of fire origin: Smoke alarm present did not operate,3 - Electrical line or battery not connected,63,13
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,4 - Remote from fire – smoke did not reach alarm,101,11
3 - Floor/suite of fire origin: Smoke alarm present did not operate,9 - Other reason,95,9
1 - Floor/suite of fire origin: No smoke alarm,8 - Tampered with (vandalism),16,8
"4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined",9 - Other reason,27,7
3 - Floor/suite of fire origin: Smoke alarm present did not operate,98 - Not applicable: Alarm operated OR presence/operation undetermined,86,6
3 - Floor/suite of fire origin: Smoke alarm present did not operate,8 - Tampered with (vandalism),9,6
1 - Floor/suite of fire origin: No smoke alarm,1 - No battery,42,6
1 - Floor/suite of fire origin: No smoke alarm,6 - Improper installation of unit,19,6
1 - Floor/suite of fire origin: No smoke alarm,7 - Unit failure,28,5
1 - Floor/suite of fire origin: No smoke alarm,"5 - Separated from fire (e.g. wall, etc)",90,4
"4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined",7 - Unit failure,10,4
2 - Floor/suite of fire origin: Smoke alarm present and operated,3 - Electrical line or battery not connected,4,4
3 - Floor/suite of fire origin: Smoke alarm present did not operate,6 - Improper installation of unit,13,3
1 - Floor/suite of fire origin: No smoke alarm,4 - Remote from fire – smoke did not reach alarm,165,3
"4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined",4 - Remote from fire – smoke did not reach alarm,104,2
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,"5 - Separated from fire (e.g. wall, etc)",47,2
2 - Floor/suite of fire origin: Smoke alarm present and operated,9 - Other reason,25,2
2 - Floor/suite of fire origin: Smoke alarm present and operated,99 - Reason for inoperation undetermined,13,2
"4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined",6 - Improper installation of unit,3,1
2 - Floor/suite of fire origin: Smoke alarm present and operated,6 - Improper installation of unit,4,1
"4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined",3 - Electrical line or battery not connected,3,1
1 - Floor/suite of fire origin: No smoke alarm,3 - Electrical line or battery not connected,35,1
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,9 - Other reason,28,1
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,7 - Unit failure,9,1
1 - Floor/suite of fire origin: No smoke alarm,2 - Dead battery,11,1
3 - Floor/suite of fire origin: Smoke alarm present did not operate,"5 - Separated from fire (e.g. wall, etc)",142,1
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,2 - Dead battery,1,1
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,3 - Electrical line or battery not connected,1,1
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,8 - Tampered with (vandalism),1,0
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,6 - Improper installation of unit,2,0
2 - Floor/suite of fire origin: Smoke alarm present and operated,7 - Unit failure,7,0
"4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined",1 - No battery,5,0
"4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined",2 - Dead battery,3,0
2 - Floor/suite of fire origin: Smoke alarm present and operated,"5 - Separated from fire (e.g. wall, etc)",32,0
2 - Floor/suite of fire origin: Smoke alarm present and operated,4 - Remote from fire – smoke did not reach alarm,34,0
2 - Floor/suite of fire origin: Smoke alarm present and operated,2 - Dead battery,6,0
"4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","5 - Separated from fire (e.g. wall, etc)",30,0
2 - Floor/suite of fire origin: Smoke alarm present and operated,1 - No battery,8,0
9 - Floor/suite of fire origin: Smoke alarm presence undetermined,1 - No battery,3,0
